,Class
0,0
1,1
2,0
3,0
4,0
5,1
6,1
7,0
8,0
9,1
10,0
11,1
12,0
13,1
14,1
15,0
16,1
17,0
18,1
19,1
20,1
21,1
22,0
23,1
24,1
25,0
26,1
27,0
28,0
29,0
30,1
31,0
32,0
33,0
34,0
35,0
36,1
37,0
38,0
39,1
40,0
41,0
42,0
43,1
44,0
45,0
46,1
47,0
48,0
49,1
50,0
51,0
52,0
53,0
54,0
55,0
56,1
57,1
58,0
59,1
60,1
61,1
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,1
71,0
72,0
73,0
74,0
75,1
76,0
77,0
78,0
79,1
80,0
81,1
82,1
83,0
84,0
85,1
86,1
87,1
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,1
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,1
109,1
110,1
111,1
112,1
113,1
114,0
115,1
116,1
117,0
118,0
119,0
120,0
121,0
122,0
123,1
124,0
125,0
126,0
127,1
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,1
136,0
137,0
138,0
139,0
140,0
141,0
142,1
143,1
144,0
145,0
146,0
147,1
148,1
149,0
150,0
151,1
152,1
153,0
154,0
155,0
156,1
157,1
158,0
159,1
160,1
161,0
162,1
163,0
164,0
165,0
166,0
167,0
168,1
169,0
170,1
171,1
172,1
173,1
174,0
175,0
176,0
177,0
178,1
179,1
180,0
181,1
182,0
183,0
184,1
185,0
186,1
187,0
188,0
189,1
190,0
191,0
192,0
193,0
194,0
195,1
196,1
197,0
198,0
199,0
200,0
201,0
202,1
203,0
204,0
205,1
206,0
207,1
208,0
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,1
217,0
218,1
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,1
227,0
228,0
229,1
230,0
231,1
232,1
233,1
234,1
235,0
236,0
237,1
238,0
239,0
240,0
241,0
242,1
243,0
244,1
245,0
246,0
247,0
248,0
249,0
250,0
251,1
252,0
253,0
254,0
255,1
256,0
257,0
258,1
259,1
260,1
261,1
262,0
263,0
264,0
265,0
266,0
267,0
268,0
269,0
270,0
271,0
272,0
273,0
274,1
275,0
276,1
277,1
278,1
279,0
280,0
281,0
